9000032297;Italy ; South East Europe ; South;57.5;;;;;;
9000135583;Belgium ; BeLux ; North;57.5;;;;;;
9000106349;Romania ; Eastern Europe ; East;241.5;;;;;;
9000091084;Netherlands ; Netherlands ; North;322.0;;;;;;
9000149259;France ; France International ; West;517.5;;;;;;
9000197464;Italy ; South East Europe ; South;345.0;;;;;;
9000156760;Poland ; Eastern Europe ; East;57.5;;;;;;
9000033958;United Kingdom ; Great Britain ; North;345.0;;;;;;
9000143355;Germany ; Central Europe ; East;161.0;;;;;;
9000177863;Spain ;  Iberica ; South;57.5;;;;;;
9000008956;Germany ; Central Europe ; East;161.0;;;;;;
9000203325;France ; France International ; West;345.0;;;;;;
9000137113;France ; France International ; West;345.0;;;;;;
9000142532;France ; France International ; West;517.5;;;;;;
9000114616;France ; France International ; West;517.5;;;;;;
9000155253;Poland ; Eastern Europe ; East;241.5;;;;;;
9000022994;Italy ; South East Europe ; South;345.0;;;;;;
9000198164;France ; France International ; West;57.5;;;;;;
9000181578;Netherlands ; Netherlands ; North;57.5;;;;;;
9000185324;Netherlands ; Netherlands ; North;322.0;;;;;;
9000095431;Poland ; Eastern Europe ; East;57.5;;;;;;
9000057195;Poland ; Eastern Europe ; East;57.5;;;;;;
9000144341;Poland ; Eastern Europe ; East;57.5;;;;;;
9000213952;Germany ; Central Europe ; East;161.0;;;;;;
9000094808;Belgium ; BeLux ; North;57.5;;;;;;
9000194165;Germany ; Central Europe ; East;57.5;;;;;;
9000117266;Poland ; Eastern Europe ; East;57.5;;;;;;
9000058052;Germany ; Central Europe ; East;161.0;;;;;;
9000067224;Germany ; Central Europe ; East;161.0;;;;;;
9000026424;Germany ; Central Europe ; East;161.0;;;;;;
9000018738;Netherlands ; Netherlands ; North;57.5;;;;;;
9000040677;Netherlands ; Netherlands ; North;57.5;;;;;;
9000075448;Belgium ; BeLux ; North;115.0;;;;;;
9000159727;Poland ; Eastern Europe ; East;57.5;;;;;;
9000009882;Belgium ; BeLux ; North;345.0;;;;;;
9000182994;France ; France International ; West;345.0;;;;;;
9000215574;Germany ; Central Europe ; East;57.5;;;;;;
9000188049;Belgium ; BeLux ; North;57.5;;;;;;
9000137318;Germany ; Central Europe ; East;161.0;;;;;;
9000086886;France ; France International ; West;57.5;;;;;;
9000072483;Netherlands ; Netherlands ; North;322.0;;;;;;
9000120221;Czech Republic ; Eastern Europe ; East;241.5;;;;;;
9000033153;Netherlands ; Netherlands ; North;57.5;;;;;;
9000209605;France ; France International ; West;345.0;;;;;;
9000213316;Spain ;  Iberica ; South;57.5;;;;;;
9000070172;Germany ; Central Europe ; East;161.0;;;;;;
9000190666;Germany ; Central Europe ; East;161.0;;;;;;
9000097694;France ; France International ; West;345.0;;;;;;
9000060614;Poland ; Eastern Europe ; East;241.5;;;;;;
9000169807;Germany ; Central Europe ; East;161.0;;;;;;
9000164168;Germany ; Central Europe ; East;161.0;;;;;;
9000029859;Germany ; Central Europe ; East;345.0;;;;;;
9000144839;France ; France International ; West;57.5;;;;;;
9000198619;Spain ;  Iberica ; South;172.5;;;;;;
9000087437;Spain ;  Iberica ; South;172.5;;;;;;
9000123198;Netherlands ; Netherlands ; North;161.0;;;;;;
9000176462;Spain ;  Iberica ; South;57.5;;;;;;
9000152416;Germany ; Central Europe ; East;57.5;;;;;;
9000044312;Germany ; Central Europe ; East;161.0;;;;;;
9000003280;France ; France International ; West;345.0;;;;;;
