CurName;CurNameBel;CurNameEng
Албанский лек;Албанскі лек;Albanian Lek
Алжирский динар;Алжырскі дынар;Algerian Dinar
Аргентинское песо;Аргенцінскае песа;Argentine Peso
Болгарский лев;Балгарскі леў;Bulgarian Lev
Австрийский шиллинг;Аўстрыйскі шылінг;Austrian Schilling
Бельгийский франк;Бельгійскі франк;Belgian Franc
Евро;Еўра;EURO
Канадский доллар;Канадскі долар;Canadian Dollar
Шри-Ланкийская рупия;Шры-Ланкійская рупія;Sri Lanka Rupee
Чилийское песо;Чылійскае песа ;Chilean Peso
Китайский юань;Кітайскі юань;Yuan China
Колумбийское песо;Калумбійскае песа;Columbian Peso
Кипрский фунт;Кіпрскі фунт;Cyprus Pound
Датская крона;Дацкая крона;Danish Krone
Эфиопский быр;Эфіопскі быр;Ethiopian Birr
Финляндская марка;Фінляндская марка;Markka
Французский франк;Французскі франк;French Franc
Грузинский лари;Грузінскі лары;Georgian Lari
Греческая драхма;Грэчаская драхма;Drachma
Гонконгский доллар;Ганконгскі долар;Hong Kong Dollar
Исландская крона;Ісландская крона;Iceland Krona
Индийская рупия;Індыйская рупія;Indian Rupee
Иранский риал;Іранскі рыал;Iranian Rial
Иракcкий динар;Іракскі дынар;Iraqi Dinar
Ирландский фунт;Ірландскі фунт;Irish Pound
Новый израильский шекель;Новы ізраільскі шэкель;Shekel
Итальянская лира;Італьянская ліра;Italian Lira
Иена;Іена;Yen
Иорданский динар;Іарданскі дынар;Jordanian Dinar
Кенийский шиллинг;Кенійскі шылінг;Kenyan Shilling
Южнокорейская вона;Паўднёвакарэйская вона;Won
Кувейтский динар;Кувейцкі дынар;Kuwaiti Dinar
Лаосcкий кип;Лаоскі кіп;Kip
Ливанский фунт;Ліванскі фунт;Lebanese Pound
Ливийcкий динар;Лівійскі дынар;Libyan Dinar
Люксембургский франк;Люксембургскі франк;Luxembourg Franc
Мексиканское новое песо;Мексіканскае новае песа;Mexican Nuevo Peso
Монгольский тугрик;Мангольскі тугрык;Tugrik
Марокканский дирхам;Мараканскі дырхам;Moroccan Diram
Непальcкая рупия;Непальская рупія;Nepalese Rupee
Нидерландский гульден;Нідэрландскі гульдэн;Netherlands Guilder
Новозеландский доллар;Новазеландскі долар;New Zealand Dollar
Нигерийская найра;Нігерыйская найра;Naira
Норвежская крона;Нарвежская крона;Norwegian Krone
Пакистанская рупия;Пакістанская рупія;Pakistan Rupee
Перуанский новый соль;Перуанскі новы соль;Nuero
Филиппинcкое песо;Філіпінскае песа;Philippine Peso
Польский злотый;Польскі злоты;Polish Zloty
Португальcкое эскудо;Партугальскае эскуда;Portuguese Escudo
Саудовский риал;Саудаўскі рыал;Saudi Riyal
Сингапурcкий доллар;Сінгапурскі долар;Singapore Dollar
Вьетнамский донг;В'етнамскі донг;Dong
Словенский толар;Славенскі толар;Slovenian Tolar
Южноафриканский рэнд;Паўднёваафрыканскі рэнд;Rand
Испанская песета;Іспанская песета;Spanish Peseta
Суданский динар;Суданскі дынар;Sudanese Dinar
Шведская крона;Шведская крона;Swedish Krona
Швейцарский франк;Швейцарскі франк;Swiss Franc
Сирийский фунт;Сірыйскі фунт;Syrian Pound
Таиландский бат;Тайландскі бат;Baht
Дирхам ОАЭ;Дырхам ААЭ;UAE Dirham
Тунисский динар;Туніскі дынар;Tunisian Dinar
Турецкая лира;Турэцкая ліра;Turkish Lira
Украинский карбованец;Украінскі карбаванец;Karbovanet
Македонский динар;Македонскі дынар;Denar
Российский рубль;Расійскі рубель;Russian Ruble
Египетский фунт;Егіпецкі фунт;Egyptian Pound
Фунт стерлингов;Фунт стэрлінгаў;Pound Sterling
Доллар США;Долар ЗША;US Dollar
Югославский динар;Югаслаўскі дынар;Yugoslavian Dinar
Новый тайваньский доллар;Новы тайваньскі долар;New Taiwan Dollar
Таджикский рубль;Таджыкскі рубель;Tajik Ruble
Узбекский сум;Узбекскі сум;Uzbekistan Sum
Армянский драм;Армянскі драм;Armenian Dram
Азербайджанский манат;Азербайджанскі манат;Azerbaijanian Manat
СДР ;Адзінка СПП (SDR) ад МВФ;SDR
Украинская гривна;Украінская грыўня;Hryvnia
Австралийский доллар;Аўстралійскі долар;Australian Dollar
Чешская крона;Чэшская крона;Czech Koruna
Эстонская крона;Эстонская крона;Estonian Crona
Венгерский форинт;Венгерскі форынт;Forint
Казахский тенге;Казахскі тэнге;Kazakhstan Tenge
Кыргызский сом;Кыргызскі сом;Kyrgyzstan Som
Латвийский лат;Латвійскі лат;Latvian Lat
Литовский лит;Літоўскі літ;Lithuanian Lit
Молдавский лей;Малдаўскі лей;Moldovian Leu
Румынский лей;Румынскі лей;Leu
Словацкая крона;Славацкая крона;Slovak Koruna
Туркменский манат;Туркменскі манат;Turkmenistan Manat
Таджикский сомони;Таджыкскі самані;Tajik somony
Азербайджанский манат;Азербайджанскі манат;Azerbaijanian Manat
Армянский драм;Армянскі драм;Armenian Dram
Югославский динар;Югаслаўскі дынар;Yugoslavian Dinar
